Scanning 101 .tor files for zero-dot singleton FQNs
FQN	PAYLOAD_SIZE	CF_E0_COUNT	CF_40_COUNT	STRING_COUNT	FIRST_32_BYTES	STRING_SAMPLES
conSpec_companion_equip_ranged	979	0	1	21	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 05 01 06 01 07 01 09 01 0A 01	conSpec_companion_equip_ranged | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1
conSpec_companion_equip_ranged_generator	969	0	1	21	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 05 01 06 01 07 01 09 01 0A 01 0B 01	(conSpec_companion_equip_ranged_generator | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1
conSpec_companion_equip_ranged_knife	971	0	1	21	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 05 01 06 01 07 01 09 01 0A 01 0B 01 0D 01 22 01	$conSpec_companion_equip_ranged_knife | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanCustomMelee_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1
conSpec_companion_equip_ranged_shotgun	981	0	1	21	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 05 01 06 01 07 01 09 01 0A 01	&conSpec_companion_equip_ranged_shotgun | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanCustomRanged_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1
conSpec_companion_no_gear_equip_melee_focus	414	0	1	7	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 03 01 29 01 32 01 CC 04 4A 5D 59 C3 08 05 02	+conSpec_companion_no_gear_equip_melee_focus | conSlotEquipHumanFocus_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanFocus_1
conSpec_companion_no_gear_equip_melee_generator	424	0	1	7	00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 03 01 28 01 29 01 CC 04 4A 5D 59	/conSpec_companion_no_gear_equip_melee_generator | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanShield_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanShield_1
conSpec_companion_no_gear_equip_melee_single_ranged_single_weapon	454	0	1	7	00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 03 01 22 01 29 01 CC 04 4A 5D 59 C3 08	AconSpec_companion_no_gear_equip_melee_single_ranged_single_weapon | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanRangedPrimary_1
conSpec_companion_no_gear_equip_melee_single_weapon	343	0	1	5	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 02 02 03 01 29 01 CC 04 4A 5D 59 C3 08 05 02 02 02	3conSpec_companion_no_gear_equip_melee_single_weapon | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanMainHand_1
conSpec_companion_no_gear_equip_ranged	444	0	1	7	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 22 01 23 01 29 01 CC 04 4A 5D	&conSpec_companion_no_gear_equip_ranged | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | "conSlotEquipHumanRangedSecondary_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | "conSlotEquipHumanRangedSecondary_1
conSpec_companion_no_gear_equip_ranged_generator	434	0	1	7	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 22 01 28 01 29 01 CC 04 4A 5D 59 C3	0conSpec_companion_no_gear_equip_ranged_generator | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanShield_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanShield_1
conSpec_companion_no_gear_equip_ranged_knife	436	0	1	7	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 22 01 27 01 29 01 CC 04 4A 5D 59 C3 08 05 02 03	,conSpec_companion_no_gear_equip_ranged_knife | conSlotEquipHumanCustomMelee_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanCustomMelee_1
conSpec_companion_no_gear_equip_ranged_shotgun	446	0	1	7	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 22 01 26 01 29 01 CC 04 4A 5D	.conSpec_companion_no_gear_equip_ranged_shotgun | conSlotEquipHumanCustomRanged_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanCustomRanged_1
conSpec_companion_no_gear_equip_ranged_single_weapon	353	0	1	5	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 02 02 22 01 29 01 CC 04 4A 5D 59 C3 08 05 02 02 02 22	4conSpec_companion_no_gear_equip_ranged_single_weapon | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1
conSpec_companion_no_helm_equip_melee_focus	880	0	1	19	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 03 01 05 01 06 01 07 01 0A 01 0B 01 0D 01 29	+conSpec_companion_no_helm_equip_melee_focus | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFocus_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1
conSpec_companion_no_helm_equip_melee_generator	890	0	1	19	00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 03 01 05 01 06 01 07 01 0A 01 0B	/conSpec_companion_no_helm_equip_melee_generator | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1
conSpec_companion_no_helm_equip_melee_single_weapon	809	0	1	17	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 08 08 03 01 05 01 06 01 07 01 0A 01 0B 01 0D 01 29	3conSpec_companion_no_helm_equip_melee_single_weapon | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1
conSpec_companion_no_helm_equip_ranged	910	0	1	19	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 05 01 06 01 07 01 0A 01 0B 01	&conSpec_companion_no_helm_equip_ranged | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1
conSpec_companion_no_helm_equip_ranged_generator	900	0	1	19	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 05 01 06 01 07 01 0A 01 0B 01 0D 01	0conSpec_companion_no_helm_equip_ranged_generator | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1
conSpec_companion_no_helm_equip_ranged_knife	902	0	1	19	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 05 01 06 01 07 01 0A 01 0B 01 0D 01 22 01 27 01	,conSpec_companion_no_helm_equip_ranged_knife | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanCustomMelee_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1
conSpec_companion_no_helm_equip_ranged_shotgun	912	0	1	19	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 05 01 06 01 07 01 0A 01 0B 01	.conSpec_companion_no_helm_equip_ranged_shotgun | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanCustomRanged_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1
conSpec_companion_no_helm_equip_ranged_single_weapon	819	0	1	17	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 08 08 05 01 06 01 07 01 0A 01 0B 01 0D 01 22 01 29 01	4conSpec_companion_no_helm_equip_ranged_single_weapon | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1
conSpec_creature_unarmed	234	0	1	3	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 29 01 CC 04 4A 5D 59 C3 08 05 02 01	conSpec_creature_unarmed | conSlotEquipHumanOutfit_1 | conSlotEquipHumanOutfit_1
conSpec_droid_equip	996	0	1	23	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 0E 01 0F 01 10 01 11 01 12 02 13 01 14 02 15	conSpec_droid_equip | conSlotEquipDroidGyro_1 | conSlotEquipDroidLower_1 | conSlotEquipDroidSensor_1 | conSlotEquipDroidShield_1 | conSlotEquipDroidSpecial_1 | conSlotEquipDroidSpecial_2 | conSlotEquipDroidUpper_1
conSpec_droid_equip_assassin	420	0	1	7	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 22 01 27 01 29 01 CC 04 4A 5D 59 C3 08 05 02 03	conSpec_droid_equip_assassin | conSlotEquipHumanCustomMelee_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanCustomMelee_1 | conSlotEquipHumanOutfit_1
conSpec_droid_equip_melee	400	0	1	7	00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 03 01 28 01 29 01 CC 04 4A 5D 59 C3 08	conSpec_droid_equip_melee | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanShield_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanShield_1 | conSlotEquipHumanOutfit_1
conSpec_effects_negative	15334	0	1	512	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 19 C8 FF CC 04 4A 5D 59 C3 08 05 02	conSpec_effects_negative | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotEffectNegative_1 | conSlotEffectNegative_10 | conSlotEffectNegative_100d | conSlotEffectNegative_101e | conSlotEffectNegative_102f | conSlotEffectNegative_103g
conSpec_effects_other	13804	0	1	512	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1E C8 FF CC 04 4A 5D 59 C3	conSpec_effects_other | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotEffectOther_1 | conSlotEffectOther_10 | conSlotEffectOther_100d | conSlotEffectOther_101e | conSlotEffectOther_102f | conSlotEffectOther_103g
conSpec_effects_positive	15334	0	1	512	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 18 C8 FF CC 04 4A 5D 59 C3 08 05 02	conSpec_effects_positive | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotEffectPositive_1 | conSlotEffectPositive_10 | conSlotEffectPositive_100d | conSlotEffectPositive_101e | conSlotEffectPositive_102f | conSlotEffectPositive_103g
conSpec_email_attachments	535	0	1	17	00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 08 CC 04 4A 5D 59 C3 08 05 02 01 01	conSpec_email_attachments | conSlotInventory_1 | conSlotInventory_2 | conSlotInventory_3 | conSlotInventory_4 | conSlotInventory_5 | conSlotInventory_6 | conSlotInventory_7
conSpec_human_equip	1208	0	1	27	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0D 0D 03 01 04 01 05 01 06 01 07 01 08 01 09 01 0A	conSpec_human_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanImplant_1
conSpec_inv_03	302	0	1	7	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 03 CC 04 4A 5D 59 C3 08 05	conSpec_inv_03 | conSlotInventory_1 | conSlotInventory_2 | conSlotInventory_3 | conSlotInventory_1 | conSlotInventory_2 | conSlotInventory_3
conSpec_inv_06	437	0	1	13	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 06 CC 04 4A 5D 59 C3 08 05	conSpec_inv_06 | conSlotInventory_1 | conSlotInventory_2 | conSlotInventory_3 | conSlotInventory_4 | conSlotInventory_5 | conSlotInventory_6 | conSlotInventory_1
conSpec_inv_18	995	0	1	37	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 12 CC 04 4A 5D 59 C3 08 05	conSpec_inv_18 | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_inv_27	1418	0	1	55	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 1B CC 04 4A 5D 59 C3 08 05	conSpec_inv_27 | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_inv_36	1841	0	1	73	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 24 CC 04 4A 5D 59 C3 08 05	conSpec_inv_36 | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_inv_45	2264	0	1	91	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 2D CC 04 4A 5D 59 C3 08 05	conSpec_inv_45 | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_inv_54	2687	0	1	109	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 36 CC 04 4A 5D 59 C3 08 05	conSpec_inv_54 | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_inv_63	3110	0	1	127	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 3F CC 04 4A 5D 59 C3 08 05	conSpec_inv_63 | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14 | conSlotInventory_15
conSpec_inv_72	3533	0	1	146	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 48 CC 04 4A 5D 59 C3 08 05	conSpec_inv_72 | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHH | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14
conSpec_inv_81	4013	0	1	162	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 1E CC 04 4A 5D 59 C3 08 05	conSpec_inv_81 | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPP | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14
conSpec_jedi_consular_equip	2329	0	1	53	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 03 01 05 01 06 01 07 01 08 01 09 01 0A 01 0B	conSpec_jedi_consular_equip | conSlotDeprecated_1 | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1
conSpec_jedi_knight_equip	2343	0	1	53	00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 03 01 04 01 05 01 06 01 07 01 08 01 09	conSpec_jedi_knight_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanImplant_1
conSpec_legacy_inventory_overflow	93767	0	1	4003	00 00 00 10 0E CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 43 C9 07 D0 CC 04 4A 5D 59 C3 08 05 02	!conSpec_legacy_inventory_overflow | C!C"C#C$C%C&C'C(C)C*C+C,C-C.C/C0C1C2C3C4C5C6C7C8C9C:C;C<C=C>C?C@CACBCCCDCECFCGCHCICJCKCLCMCNCOCPCQCRCSCTCUCVCWCXCYCZC[C\C]C^C_C`CaCbCcCdCeCfCgChCiCjCkClCmCnCoCpCqCrCsCtCuCvCwCxCyCzC{C|C}C~C | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotAny_1 | conSlotAny_10 | conSlotAny_100d | conSlotAny_1000 | conSlotAny_1001
conSpec_quest	3269	0	1	163	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 33 50 CC 04 4A 5D 59 C3 08	conSpec_quest | 3!3"3#3$3%3&3'3(3)3*3+3,3-3.3/303132333435363738393:3;3<3=3>3?3@3A3B3C3D3E3F3G3H3I3J3K3L3M3N3O3P3 | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPP | conSlotQuest_1 | conSlotQuest_10 | conSlotQuest_11 | conSlotQuest_12 | conSlotQuest_13
conSpec_quickslot	5831	0	1	242	00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1A 78 CC 04 4A 5D 59 C3 08 05 02 01 01	conSpec_quickslot | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxx | conSlotQuickslot_1 | conSlotQuickslot_10 | conSlotQuickslot_100d | conSlotQuickslot_101e | conSlotQuickslot_102f | conSlotQuickslot_103g
conSpec_scff_equip_maj_PPSHE	590	0	1	11	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 44 02 45 01 46 01 48 01 CC 04 4A 5D 59 C3 08 05	conSpec_scff_equip_maj_PPSHE | conSlotEquipSCFFEngine_1 | conSlotEquipSCFFPrimaryWeapon_1 | conSlotEquipSCFFPrimaryWeapon_2 | !conSlotEquipSCFFSecondaryWeapon_1 | !conSlotEquipSCFFShieldProjector_1 | conSlotEquipSCFFPrimaryWeapon_1 | conSlotEquipSCFFPrimaryWeapon_2
conSpec_scff_equip_maj_PSSHE	594	0	1	11	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 44 01 45 02 46 01 48 01 CC 04 4A 5D 59 C3 08 05	conSpec_scff_equip_maj_PSSHE | conSlotEquipSCFFEngine_1 | conSlotEquipSCFFPrimaryWeapon_1 | !conSlotEquipSCFFSecondaryWeapon_1 | !conSlotEquipSCFFSecondaryWeapon_2 | !conSlotEquipSCFFShieldProjector_1 | conSlotEquipSCFFPrimaryWeapon_1 | !conSlotEquipSCFFSecondaryWeapon_1
conSpec_scff_equip_maj_PSYHE	604	0	1	11	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 05 05 44 01 45 01 46 01 47 01 48 01 CC 04 4A 5D 59 C3	conSpec_scff_equip_maj_PSYHE | conSlotEquipSCFFAuxSystem_1 | conSlotEquipSCFFEngine_1 | conSlotEquipSCFFPrimaryWeapon_1 | !conSlotEquipSCFFSecondaryWeapon_1 | !conSlotEquipSCFFShieldProjector_1 | conSlotEquipSCFFPrimaryWeapon_1 | !conSlotEquipSCFFSecondaryWeapon_1
conSpec_scff_equip_min_ACMR	479	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 4B 01 4C 01 4E 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_ACMR | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1
conSpec_scff_equip_min_ACMT	481	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 4C 01 4D 01 4E 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_ACMT | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1
conSpec_scff_equip_min_ACRS	475	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4B 01 4C 01 4E 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_ACRS | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFReactor_1
conSpec_scff_equip_min_ACRT	479	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 4B 01 4C 01 4D 01 4E 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_ACRT | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFReactor_1
conSpec_scff_equip_min_ACST	477	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4C 01 4D 01 4E 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_ACST | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFSensor_1
conSpec_scff_equip_min_AMRS	473	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4B 01 4C 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_AMRS | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1
conSpec_scff_equip_min_ARST	473	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4B 01 4C 01 4D 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_ARST | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFArmor_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1
conSpec_scff_equip_min_CMRS	481	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4B 01 4E 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_CMRS | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1
conSpec_scff_equip_min_CMRT	485	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 4B 01 4D 01 4E 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_CMRT | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1
conSpec_scff_equip_min_CMST	483	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4D 01 4E 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_CMST | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFCapacitor_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFSensor_1
